"Drug","INN","Disease","Applicant","Parent_Company","Technology","Therapeutic_Area","Severity_Tier","Country","Decision_Type","Evaluation_Raw","Decision_Status_Raw","Access_Outcome","Restriction_Level","Reason_Category","Decision_Year","Decision_Date_Raw","Comparator_Category","Comparator_Raw","Evidence_Type","Reason_Text","ICER_Raw","Main_Uncertainty","Conditions","Notes","Comments","Data_Source","Row_Ref","Is_Positive","Is_Assessed","ICER_Min_SEK_per_QALY (Sweden only, curated)","ICER_Max_SEK_per_QALY (Sweden only, curated)","ICER_Basis_Note (Sweden only)","Technology_Group","Drug_Any_Positive (helper)","Drug_First_Positive_Year (helper)","hta_decision_date","ema_ma_date","time_to_decision_years","time_flag"
"Vyjuvek","Beremagene geperpavec","Dystrophic epidermolysis bullosa (DEB)","Krystal Biotech","Krystal Biotech","Gene therapy (topical HSV vector)","Dermatology",,"Sweden","Full / standard HTA","Planned TLV health economic assessment + NT-rådet wait recommendation","Pending / wait recommendation","Ongoing/Pending","Not Applicable","N/A",2025,"NT-rådet wait recommendation: 28/08/2025","Best supportive care / no active treatment","Expected: best supportive wound care / standard wound care","Not specified / unclear","Clinical evidence uncertainty + Price / cost-effectiveness","Not available yet","Full value assessment not yet completed; uncertainty around clinical value, cost-effectiveness and equal national introduction","Treatment of wounds in patients with dystrophic EB with COL7A1 mutation(s), from birth","NT-rådet recommends regions wait until TLV completes the health economic assessment and NT-rådet can make a full recommendation.","Important upcoming gene therapy case for DEB. Sweden is preventing unequal early uptake while assessment is ongoing.","Primary xlsx database",16,FALSE,TRUE,,,"not available yet","Gene therapy",0,,2025-07-01,2025-04-23,0.188911704312115,"ok"
"Vyjuvek","Beremagene geperpavec","Dystrophic epidermolysis bullosa (DEB)","Krystal Biotech","Krystal Biotech","Gene therapy (topical HSV vector)","Dermatology",,"Denmark","No formal assessment / not assessed","No assessment in Denmark","No assessment in Denmark","Not Evaluated","Not Applicable","N/A",,"No assessment in Denmark","Not applicable / Not assessed","No assessment in Denmark","Not specified / unclear","Not specified","No assessment in Denmark","No assessment in Denmark","No assessment in Denmark","No assessment in Denmark","No assessment in Denmark","Primary xlsx database",16,FALSE,FALSE,,,,"Gene therapy",0,,,2025-04-23,,"missing"
"Vyjuvek","Beremagene geperpavec","Dystrophic epidermolysis bullosa (DEB)","Krystal Biotech","Krystal Biotech","Gene therapy (topical HSV vector)","Dermatology",,"Norway","Other / unclassified process","Nye Metoder assessment initiated","Pending","Ongoing/Pending","Not Applicable","N/A",2025,"Assessment request / process initiated in 2025","Best supportive care / no active treatment","Expected: standard wound care / best supportive care","Not specified / unclear","Clinical evidence uncertainty + Price / cost-effectiveness","Not available yet","Long-term effect, durability of wound closure, cost-effectiveness and treatment use in practice","DEB wounds with COL7A1 mutation(s)","Vyjuvek is in the Norwegian pipeline under Nye Metoder; final decision not yet available","Keep as ongoing/pending.","Primary xlsx database",16,FALSE,TRUE,,,,"Gene therapy",0,,2025-07-01,2025-04-23,0.188911704312115,"ok"
"Filsuvez","birch triterpenes / bjørkeneverekstrakt","Dystrophic epidermolysis bullosa (DEB)","Chiesi Pharma AB","Chiesi Group","Other biologic/plant-derived","Dermatology",,"Sweden","Full / standard HTA","TLV reimbursement/subvention assessment with cost-utility analysis","Not recommended / rejected","Negative","Not Applicable","Price/Cost-effectiveness",2025,"2025-04-24 00:00:00","Best supportive care / no active treatment","No addition to best supportive care","Not specified / unclear","Clinical evidence uncertainty + Price / cost-effectiveness","TLV scenario: approx. SEK 2.1M/QALY; sensitivity analyses approx. SEK 1.2–2.8M/QALY","Very high uncertainty around long-term effect, quality-of-life benefit, model structure, wound heterogeneity and sustained effect after 90 days","Patients ≥6 months with partial-thickness wounds associated with DEB or JEB","TLV found better wound-healing effect but judged costs not reasonable in relation to benefit. Application rejected.","Strong negative access case: clinical benefit acknowledged, but not enough to justify price.","Primary xlsx database",17,FALSE,TRUE,1200000,2800000,"range (TLV scenario ~2.1M, sensitivity 1.2-2.8M)","Other biologic",0,,2025-04-24,,,"missing"
"Filsuvez","birch triterpenes / bjørkeneverekstrakt","Dystrophic epidermolysis bullosa (DEB)","Chiesi Pharma AB","Chiesi Group","Other biologic/plant-derived","Dermatology",,"Denmark","Full / standard HTA","Medicinrådet clinical and health economic assessment","Not recommended","Negative","Not Applicable","Price/Cost-effectiveness",2025,"2025-06-18 00:00:00","Best supportive care / no active treatment","Standard of care / existing wound care","Not specified / unclear","Clinical evidence uncertainty + Price / cost-effectiveness","AIP ICER approx. DKK 6.27M/QALY; QALY gain approx. 0.7","Uncertain quality-of-life effect, uncertain long-term clinical benefit, uncertain patient-level medicine use and wound burden","Patients >6 months with partial-thickness wounds associated with DEB or JEB","Medicinrådet found faster wound healing, around 38 vs 45 days, but considered added costs unreasonable versus health gain.","Similar to Sweden: small clinical benefit, high cost, high uncertainty.","Primary xlsx database",17,FALSE,TRUE,,,,"Other biologic",0,,2025-06-18,,,"missing"
"Filsuvez","birch triterpenes / bjørkeneverekstrakt","Dystrophic epidermolysis bullosa (DEB)","Chiesi Pharma AB","Chiesi Group","Other biologic/plant-derived","Dermatology",,"Norway","Managed introduction / price negotiation","Nye Metoder method assessment with health economic analysis + price note process","Pending final decision","Ongoing/Pending","Not Applicable","N/A",2025,"Bestillerforum decision: 26/05/2025; HTA published 04/12/2025","Best supportive care / no active treatment","Current standard EB treatment / standard wound care","Not specified / unclear","Price / cost-effectiveness","Not final/public decision yet","Long-term effect, resource use, quality-of-life benefit and cost-effectiveness","Patients ≥6 months with partial-thickness wounds associated with DEB or JEB","DMP delivered the method assessment; Sykehusinnkjøp is responsible for price negotiations and price note before Beslutningsforum decision.","Norway is further along than Finland but not yet at final reimbursement decision.","Primary xlsx database",17,FALSE,TRUE,,,,"Other biologic",0,,2025-07-01,,,"missing"
"Elfabrio","Pegunigalsidase alfa","Fabry disease","Chiesi Pharma AB","Chiesi Group","Enzyme replacement therapy","Metabolic/Lysosomal storage",,"Sweden","Managed introduction / price negotiation","TLV reimbursement assessment, followed by TLV class reassessment of all Fabry medicines","2023: Reimbursed. 2025: Excluded from high-cost protection from 01/02/2026 after reassessment","Negative","Not Applicable","Price/Cost-effectiveness",2023,"Elfabrio included from 18/11/2023; Fabry class reassessment decision 30/01/2025; exclusion effective 01/02/2026","Active comparator drug(s)","Initial Elfabrio assessment: Fabrazyme/agalsidase beta. Class reassessment: no treatment as hypothetical comparator","Not specified / unclear","Clinical evidence uncertainty + Price / cost-effectiveness","ICER not clearly available in current notes. TLV concluded costs were substantially higher than what is usually considered reasonable regardless of disease severity","Main issue was not lack of clinical benefit, but unacceptable cost at current prices. No side agreements were reached. Uncertainty around whether current prices were reasonable given long-term treatment costs","Adult patients with Fabry disease. In the class reassessment, Elfabrio, Fabrazyme, Replagal and Galafold were all reassessed together","TLV accepted that all Fabry medicines provide better effect than no treatment, but decided the costs were not reasonable. Long transition period was granted to avoid sudden disruption of care","Important negative pricing-pressure case. Sweden did not reject Fabry treatment clinically; it removed the whole class from reimbursement to force new regional solutions/pricing outside the high-cost protection system","Primary xlsx database",18,FALSE,TRUE,,,"not clearly available; TLV stated cost was 'substantially higher than usually considered reasonable'","Enzyme replacement therapy",1,,2023-07-01,2023-05-04,0.158795345653662,"ok"
"Elfabrio","Pegunigalsidase alfa","Fabry disease","Chiesi Pharma AB","Chiesi Group","Enzyme replacement therapy","Metabolic/Lysosomal storage",,"Denmark","Managed introduction / price negotiation","Medicinrådet assessment, followed by Fabry treatment guideline, drug recommendation and Amgros tender","Initially not recommended as standard treatment in 2024 due to price; later recommended after treatment guideline and tender","Positive","Broad","N/A",2024,"Original decision 24/01/2024; treatment recommendation approved 26/03/2025; effective from 01/08/2025","Active comparator drug(s)","Other Fabry treatments, especially agalsidase beta/Fabrazyme and other ERTs considered clinically comparable","Not specified / unclear","Price / cost-effectiveness","ICER not publicly central in current notes. Decision driven by tender outcome: Elfabrio became clearly cheaper than the other clinically equivalent Fabry medicines","Main issue was price relative to clinically comparable alternatives. After equivalence assessment, economic competition became decisive","Recommended for Fabry disease. New patients should start on pegunigalsidase alfa, and as many existing patients as possible should switch where clinically appropriate","Medicinrådet created a treatment guideline to enable price competition in a high-cost rare disease area. Amgros tender made Elfabrio the cheapest option","Strong positive market access case. Denmark moved from rejection to recommendation once Elfabrio became the lowest-cost clinically equivalent option. This is a clear procurement-driven access model","Primary xlsx database",18,TRUE,TRUE,,,,"Enzyme replacement therapy",1,,2024-07-01,2023-05-04,1.16084873374401,"ok"
"Elfabrio","Pegunigalsidase alfa","Fabry disease","Chiesi Pharma AB","Chiesi Group","Enzyme replacement therapy","Metabolic/Lysosomal storage",,"Norway","Rapid / simplified HTA","Nye Metoder simplified method assessment with Sykehusinnkjøp price note","Initially not introduced; later introduced after renewed price negotiations","Positive","Broad","N/A",2023,"Not introduced 28/08/2023; introduced 23/10/2023; use from 01/12/2023","Active comparator drug(s)","Existing Fabry treatments in procurement: Replagal/agalsidase alfa, Fabrazyme/agalsidase beta and Galafold/migalastat","Not specified / unclear","Price / cost-effectiveness","No public ICER. Cost-effectiveness was not calculated; price comparison/procurement logic was central","Benefit was not initially considered reasonable relative to price. Clinical evidence did not show clear superiority over agalsidase beta; cost-effectiveness was not calculated","Long-term enzyme replacement therapy in adults with confirmed Fabry disease","DMP/NoMA used a simplified assessment because the mechanism was known, other ERTs were already in use, and Elfabrio was not expected to increase patient numbers","Classic Norwegian negotiation case: first no, then yes after improved price. Access depends on price being equal to or lower than the negotiated basis for the decision","Primary xlsx database",18,TRUE,TRUE,,,,"Enzyme replacement therapy",1,,2023-07-01,2023-05-04,0.158795345653662,"ok"
"Fabrazyme","Agalsidase beta","Fabry disease","Sanofi","Sanofi","Enzyme replacement therapy","Metabolic/Lysosomal storage",,"Sweden","Managed introduction / price negotiation","TLV class reassessment of Fabry medicines","Excluded from high-cost protection from 01/02/2026","Negative","Not Applicable","Price/Cost-effectiveness",2025,"Decision 30/01/2025; effective 01/02/2026","Best supportive care / no active treatment","No treatment, as hypothetical comparator","Not specified / unclear","Comparator/positioning issue + Price / cost-effectiveness","ICER not available","Cost+J19:N19 considered too high at current price; no side agreement reached","Fabry disease treatment; previously reimbursed within high-cost protection","Reassessed together with Replagal, Galafold and Elfabrio","Established ERT and key comparator. Sweden accepted benefit but rejected current price level","Primary xlsx database",19,FALSE,TRUE,,,"none public","Enzyme replacement therapy",1,,2025-07-01,2001-08-03,23.9096509240246,"long (>10 years)"
"Fabrazyme","Agalsidase beta","Fabry disease","Sanofi","Sanofi","Enzyme replacement therapy","Metabolic/Lysosomal storage",,"Denmark","Other / unclassified process","Medicinrådet treatment guideline and drug recommendation for Fabry disease","Not first-choice after 2025 recommendation","Restricted Positive","Restricted","Comparator/positioning",2025,"Recommendation approved 26/03/2025; effective 01/08/2025","Active comparator drug(s)","Other Fabry treatments, especially Elfabrio and Replagal","Not specified / unclear","Comparator/positioning issue + Price / cost-effectiveness","ICER not central/not available","Considered clinically comparable to Elfabrio, but more expensive after tender","Fabry disease; may remain relevant if patient-specific reasons prevent switching","Included in guideline but not selected in drug recommendation because Elfabrio won on price","Important comparator, but Denmark now prioritises Elfabrio as cheaper equivalent ERT","Primary xlsx database",19,TRUE,TRUE,,,,"Enzyme replacement therapy",1,,2025-07-01,2001-08-03,23.9096509240246,"long (>10 years)"
"Fabrazyme","Agalsidase beta","Fabry disease","Sanofi","Sanofi","Enzyme replacement therapy","Metabolic/Lysosomal storage",,"Norway","Managed introduction / price negotiation","Included in Sykehusinnkjøp Fabry procurement/tender","Available / established treatment","Positive","Broad","N/A",,"Existing before Elfabrio; tender dates vary","Active comparator drug(s)","Replagal, Galafold, Elfabrio","Not specified / unclear","Comparator/positioning issue + Price / cost-effectiveness","ICER not available","Price ranking and procurement position","Fabry disease according to specialist use","ICER not available
Established ERT in Norwegian Fabry tender system","Main comparator for Elfabrio. No new individual Nye Metoder assessment identified","Primary xlsx database",19,TRUE,TRUE,,,,"Enzyme replacement therapy",1,,,2001-08-03,,"missing"
"Replagal","Agalsidase alfa","Fabry disease","Takeda/Shire","Takeda","Enzyme replacement therapy","Metabolic/Lysosomal storage",,"Sweden","Managed introduction / price negotiation","TLV class reassessment of Fabry medicines","Excluded from high-cost protection from 01/02/2026","Negative","Not Applicable","Price/Cost-effectiveness",2025,"Decision 30/01/2025; effective 01/02/2026","Best supportive care / no active treatment","No treatment, as hypothetical comparator","Not specified / unclear","Price / cost-effectiveness","ICER not available","Cost considered too high at current price; no side agreement reached","Fabry disease treatment; previously reimbursed within high-cost protection","Reassessed together with Fabrazyme, Galafold and Elfabrio","Historical ERT standard. Sweden accepted benefit but rejected current price level","Primary xlsx database",20,FALSE,TRUE,,,"none public","Enzyme replacement therapy",1,,2025-07-01,2001-08-03,23.9096509240246,"long (>10 years)"
"Replagal","Agalsidase alfa","Fabry disease","Takeda/Shire","Takeda","Enzyme replacement therapy","Metabolic/Lysosomal storage",,"Denmark","Other / unclassified process","Medicinrådet treatment guideline and drug recommendation for Fabry disease","Not first-choice after 2025 recommendation","Restricted Positive","Restricted","Comparator/positioning",2025,"Recommendation approved 26/03/2025; effective 01/08/2025","Active comparator drug(s)","Other Fabry treatments, especially Elfabrio and Fabrazyme","Not specified / unclear","Price / cost-effectiveness","ICER not central/not available","Considered part of clinically comparable ERT landscape, but not cheapest after tende","Fabry disease; may remain relevant for patients who cannot switch","Included in treatment guideline but not selected as recommended first-choice","Historical standard of care but displaced by Elfabrio in Denmark due to price competition","Primary xlsx database",20,TRUE,TRUE,,,,"Enzyme replacement therapy",1,,2025-07-01,2001-08-03,23.9096509240246,"long (>10 years)"
"Replagal","Agalsidase alfa","Fabry disease","Takeda/Shire","Takeda","Enzyme replacement therapy","Metabolic/Lysosomal storage",,"Norway","Managed introduction / price negotiation","Included in Sykehusinnkjøp Fabry procurement/tender","Available / established treatment","Positive","Broad","N/A",,"Existing before Elfabrio; tender dates var","Active comparator drug(s)","Fabrazyme, Galafold, Elfabrio","Not specified / unclear","Comparator/positioning issue + Price / cost-effectiveness","ICER not available","Price ranking and procurement position","Fabry disease according to specialist use","Established ERT in Norwegian Fabry tender system","Important switch comparator for Elfabrio. No separate new Nye Metoder decision identified","Primary xlsx database",20,TRUE,TRUE,,,,"Enzyme replacement therapy",1,,,2001-08-03,,"missing"
"Galafold","Migalastat","Fabry disease","Amicus Therapeutics","Amicus Therapeutics","Small molecule (pharmacological chaperone)","Metabolic/Lysosomal storage",,"Sweden","Managed introduction / price negotiation","TLV class reassessment of Fabry medicines","Excluded from high-cost protection from 01/02/2026","Negative","Not Applicable","Price/Cost-effectiveness",2025,"Decision 30/01/2025; effective 01/02/2026","Best supportive care / no active treatment","No treatment, as hypothetical comparator","Not specified / unclear","Price / cost-effectiveness","ICER not available in current notes","Cost considered too high at current price; no side agreement reached","Fabry disease patients with amenable mutations","Reassessed together with Elfabrio, Fabrazyme and Replagal","Oral chaperone therapy. Benefit accepted, but current price rejected","Primary xlsx database",21,FALSE,TRUE,,,"none public","Small molecule",1,,2025-07-01,2016-05-25,9.1006160164271,"ok"
"Galafold","Migalastat","Fabry disease","Amicus Therapeutics","Amicus Therapeutics","Small molecule (pharmacological chaperone)","Metabolic/Lysosomal storage",,"Denmark","Other / unclassified process","Medicinrådet treatment guideline and drug recommendation for Fabry disease","Not first-choice after 2025 recommendation","Restricted Positive","Restricted","Comparator/positioning",2025,"Recommendation approved 26/03/2025; effective 01/08/2025","Other / mixed comparator","ERTs and other Fabry medicines","Not specified / unclear","Not specified","ICER not central/not available","Different eligible population because only patients with amenable mutations can receive migalastat","Fabry disease with amenable mutation","Included in Fabry treatment framework, but Elfabrio became recommended first-choice after tender","Important alternative mechanism, but not interchangeable for all patients","Primary xlsx database",21,TRUE,TRUE,,,,"Small molecule",1,,2025-07-01,2016-05-25,9.1006160164271,"ok"
"Galafold","Migalastat","Fabry disease","Amicus Therapeutics","Amicus Therapeutics","Small molecule (pharmacological chaperone)","Metabolic/Lysosomal storage",,"Norway","Managed introduction / price negotiation","Included in Sykehusinnkjøp Fabry procurement/tender","Available / established treatment","Positive","Broad","N/A",,"Existing before Elfabrio; tender dates vary","Active comparator drug(s)","Fabrazyme, Replagal, Elfabrio","Not specified / unclear","Price / cost-effectiveness","ICER not available","Price ranking and eligible mutation population","Fabry disease with amenable mutations","Included in Norwegian Fabry procurement as chaperone treatment","Important oral alternative; not directly suitable for all Fabry patients","Primary xlsx database",21,TRUE,TRUE,,,,"Small molecule",1,,,2016-05-25,,"missing"
"Amvuttra","Vutrisiran","Hereditary transthyretin amyloidosis with polyneuropathy, stage 1 or 2; ATTR-CM emerging/under assessment in some countries","Alnylam","Alnylam","RNA-targeted (siRNA)","Cardiology/Amyloidosis",,"Sweden","Managed introduction / price negotiation","TLV reimbursement/subvention assessment with side agreement.","Reimbursed with restriction.","Restricted Positive","Restricted","N/A",2023,"01/11/2023.","Active comparator drug(s)","Onpattro.","Not specified / unclear","Not specified","Not public; TLV found Amvuttra cost lower than Onpattro after side agreement.","Comparative evidence versus Onpattro, long-term outcomes.","Adults with ATTRv-PN stage 1/2 who worsened despite TTR stabiliser.","SC injection every 3 months; prescription route.","Main newer gene-silencing therapy in Sweden; easier administration than Onpattro.","Primary xlsx database",22,TRUE,TRUE,,,"not public - judged lower cost than Onpattro after side agreement","RNA-targeted",1,,2023-07-01,2022-09-15,0.791238877481177,"ok"
"Amvuttra","Vutrisiran","Hereditary transthyretin amyloidosis with polyneuropathy, stage 1 or 2; ATTR-CM emerging/under assessment in some countries","Alnylam","Alnylam","RNA-targeted (siRNA)","Cardiology/Amyloidosis",,"Denmark","Other / unclassified process","Medicinrådet status unclear; ATTR-CM request identified.","Missing information / ongoing.","Ongoing/Pending","Not Applicable","N/A",,"Missing information.","Active comparator drug(s)","Expected Onpattro for PN; tafamidis/BSC for CM depending indication.","Not specified / unclear","Price / cost-effectiveness","No confirmed public hATTR-PN recommendation found.","Comparative value and cost.","Missing information.","Missing information.","mportant gap because Amvuttra would logically compete with Onpattro.","Primary xlsx database",22,FALSE,TRUE,,,,"RNA-targeted",1,,,2022-09-15,,"missing"
"Amvuttra","Vutrisiran","Hereditary transthyretin amyloidosis with polyneuropathy, stage 1 or 2; ATTR-CM emerging/under assessment in some countries","Alnylam","Alnylam","RNA-targeted (siRNA)","Cardiology/Amyloidosis",,"Norway","Other / unclassified process","Nye Metoder assessment ongoing.",": Ongoing / not introduced yet.","Ongoing/Pending","Not Applicable","N/A",2025,"PN ongoing; ATTR-CM request identified in 2025.","Active comparator drug(s)","Expected Onpattro/Tegsedi for PN; tafamidis/BSC for CM","Not specified / unclear","Price / cost-effectiveness","missing info","Long-term comparative benefit, cost, patient numbers.","pending","Main near-term opportunity to close Norway’s hATTR-PN access gap.","Should be followed closely.","Primary xlsx database",22,FALSE,TRUE,,,,"RNA-targeted",1,,2025-07-01,2022-09-15,2.79260780287474,"ok"
"Onpattro","Patisiran","Hereditary transthyretin amyloidosis with polyneuropathy, stage 1 or 2","Alnylam","Alnylam","RNA-targeted (siRNA)","Cardiology/Amyloidosis",,"Sweden","Full / standard HTA","TLV health economic assessment for NT-rådet + NT-rådet recommendation.","Recommended as clinic drug with regional agreement.","Restricted Positive","Restricted","N/A",2018,"nitial recommendation after 2018 approval; updated 2025.","Best supportive care / no active treatment","No treatment/placebo initially; later gene-silencing alternatives.","Not specified / unclear","Comparator/positioning issue","Not public/currently unavailable","Long-term effect, comparative value versus newer gene silencers, indirect comparisons.","Adults with ATTRv-PN stage 1/2 who worsened despite TTR stabiliser.","IV infusion every 3 weeks; still nationally coordinated by NT-rådet.","Important first-in-class gene silencer and key comparator for Amvuttra.","Primary xlsx database",23,TRUE,TRUE,,,"not public","RNA-targeted",1,,2018-07-01,2018-08-27,-0.15605749486653,"negative (HTA before MA — check dates)"
"Onpattro","Patisiran","Hereditary transthyretin amyloidosis with polyneuropathy, stage 1 or 2","Alnylam","Alnylam","RNA-targeted (siRNA)","Cardiology/Amyloidosis",,"Denmark","Other / unclassified process","Medicinrådet clinical and economic assessment.","Recommended.","Positive","Broad","N/A",2020,"2020-11-18 00:00:00","Best supportive care / no active treatment","No treatment/placebo.","Not specified / unclear","Price / cost-effectiveness","Incremental cost approx. DKK 20M per patient at AIP; confidential discount lowers actual cost.","High cost, long-term benefit, budget impact.","hATTR-PN stage 1/2.","Considered to provide large added value.","Strong positive Danish access case.","Primary xlsx database",23,TRUE,TRUE,,,,"RNA-targeted",1,,2020-11-18,2018-08-27,2.22861054072553,"ok"
"Onpattro","Patisiran","Hereditary transthyretin amyloidosis with polyneuropathy, stage 1 or 2","Alnylam","Alnylam","RNA-targeted (siRNA)","Cardiology/Amyloidosis",,"Norway","Other / unclassified process","Nye Metoder assessment process","Not introduced / shall not be used.","Negative","Not Applicable","Price/Cost-effectiveness",2024,"Decision noted 18/03/2024.","Other / mixed comparator","Not fully assessed because required documentation was not submitted.","Not specified / unclear","Administrative/procedural","No ICER; HTA not completed.","Missing company documentation.","N/A","Bestillerforum cancelled the assignment","Major Norwegian access gap caused by documentation non-submission.","Primary xlsx database",23,FALSE,TRUE,,,,"RNA-targeted",1,,2024-07-01,2018-08-27,5.84531143052704,"ok"
"Tegsedi","inotersen","Hereditary transthyretin amyloidosis with polyneuropathy, stage 1 or 2","Ionis / Akcea","Ionis/Akcea","RNA-targeted (antisense oligonucleotide)","Cardiology/Amyloidosis",,"Sweden","Full / standard HTA","TLV health economic assessment for NT-rådet + NT-rådet recommendation.","Recommended as clinic drug with regional agreement.","Restricted Positive","Restricted","N/A",2019,"Initial recommendation after 2019 assessment; updated 2025.","Active comparator drug(s)","No treatment/placebo initially; later Onpattro/other gene silencers.","Not specified / unclear","Not specified","Not public/currently unavailable.","Safety profile, thrombocytopenia, renal monitoring, comparative value","Adults with ATTRv-PN stage 1/2 who worsened despite TTR stabiliser.","Weekly SC injection; still nationally coordinated as clinic drug.","Available in Sweden, but with greater monitoring burden than Amvuttra/Wainzua.","Primary xlsx database",24,TRUE,TRUE,,,"not public","RNA-targeted",1,,2019-07-01,2018-07-06,0.985626283367556,"ok"
"Tegsedi","inotersen","Hereditary transthyretin amyloidosis with polyneuropathy, stage 1 or 2","Ionis / Akcea","Ionis/Akcea","RNA-targeted (antisense oligonucleotide)","Cardiology/Amyloidosis",,"Denmark","Full / standard HTA","Medicinrådet assessment.","Not recommended.","Negative","Not Applicable","Price/Cost-effectiveness",2020,"2020/2021.","Best supportive care / no active treatment","No treatment/placebo; indirect comparison with patisiran.","Not specified / unclear","Price / cost-effectiveness","Costs judged too high relative to effect and safety","Serious adverse effects and cost relative to benefit.","Not recommended","Medicinrådet considered benefit insufficient considering safety concerns.","Denmark is the clearest Nordic negative Tegsedi case.","Primary xlsx database",24,FALSE,TRUE,,,,"RNA-targeted",1,,2020-07-01,2018-07-06,1.98767967145791,"ok"
"Tegsedi","inotersen","Hereditary transthyretin amyloidosis with polyneuropathy, stage 1 or 2","Ionis / Akcea","Ionis/Akcea","RNA-targeted (antisense oligonucleotide)","Cardiology/Amyloidosis",,"Norway","Other / unclassified process","Nye Metoder assessment ordered.","Missing information / no final decision identified.","Not Evaluated","Not Applicable","N/A",,"Missing information.","Active comparator drug(s)","Expected no treatment/Onpattro.","Not specified / unclear","Administrative/procedural","Missing information.","Possible non-submission; safety; comparative value.","Missing information.","Assessment initiated but no final public decision confirmed.",,"Primary xlsx database",24,FALSE,FALSE,,,,"RNA-targeted",1,,,2018-07-06,,"missing"
"Vyndaqel","tafamidis","ATTR amyloidosis; historically hATTR-PN stage 1, currently especially ATTR-CM","Pfizer","Pfizer","Small molecule (stabilizer)","Cardiology/Amyloidosis",,"Sweden","Full / standard HTA","TLV reimbursement assessment + NAG LOK clinical guidance.","Vyndaqel 20 mg for PN no longer marketed; Vyndaqel 61 mg for ATTR-CM reimbursed with restriction and side agreement.","Restricted Positive","Restricted","N/A",2021,"61 mg reimbursed from 01/09/2021; current guidance 2025.","Best supportive care / no active treatment","BSC/no treatment for CM; TTR stabiliser context for PN.","Not specified / unclear","Comparator/positioning issue + Price / cost-effectiveness","Not public/currently unavailable.","Cost-effectiveness and appropriate patient selection.","61 mg restricted to ATTR-CM; 20 mg PN formulation no longer marketed.","TTR stabiliser; for PN, diflunisal is practical first-line stabiliser in Sweden.","Essential comparator/context drug rather than current main PN access product.","Primary xlsx database",25,TRUE,TRUE,,,"not public","Small molecule",1,,2021-07-01,2011-11-16,9.62354551676934,"ok"
"Vyndaqel","tafamidis","ATTR amyloidosis; historically hATTR-PN stage 1, currently especially ATTR-CM","Pfizer","Pfizer","Small molecule (stabilizer)","Cardiology/Amyloidosis",,"Denmark","Other / unclassified process","Medicinrådet own-initiative comparative assessment.","Recommended for hATTR-PN stage 1.","Restricted Positive","Restricted","Clinical evidence uncertainty",2021,"19/03/2021.","Best supportive care / no active treatment","Patisiran, inotersen, no treatment.","Not specified / unclear","Comparator/positioning issue","Not central/currently unavailable.","Limited to stage 1 and stabiliser role.","hATTR-PN stage 1.","Positioned as stabiliser before gene-silencing therapy.",": Important first-line comparator in Danish sequence.","Primary xlsx database",25,TRUE,TRUE,,,,"Small molecule",1,,2021-07-01,2011-11-16,9.62354551676934,"ok"
"Vyndaqel","tafamidis","ATTR amyloidosis; historically hATTR-PN stage 1, currently especially ATTR-CM","Pfizer","Pfizer","Small molecule (stabilizer)","Cardiology/Amyloidosis",,"Norway","Managed introduction / price negotiation","Nye Metoder HTA + Sykehusinnkjøp price note + Beslutningsforum.","Introduced for ATTR-CM.","Positive","Broad","N/A",2022,"20/06/2022; use from 15/07/2022.","Best supportive care / no active treatment","BSC/standard care","Not specified / unclear","Price / cost-effectiveness","High at list price; confidential price enabled access.","Budget impact, patient numbers, long-term benefit.","ATTR-CM according to specialist criteria","Positive Norwegian ATTR case, but for cardiomyopathy not PN.","Norway has tafamidis access for CM but not clear gene-silencer access for PN.","Primary xlsx database",25,TRUE,TRUE,,,,"Small molecule",1,,2022-07-01,2011-11-16,10.6228610540726,"long (>10 years)"
"Oxlumo","Lumasiran","Primary hyperoxaluria type 1 (PH1)","Alnylam Netherlands B.V.","Alnylam","RNA-targeted (siRNA)","Renal/Metabolic","Ultra-severe (immediately life-threatening)","Sweden","Other / unclassified process","NT-rådet national recommendation; TLV health-economic assessment requested but not completed because company did not submit economic evidence","General use not recommended; may be used only as indispensable care","Restricted Positive","Restricted","Clinical evidence uncertainty",2025,"NT-rådet statement 24/11/2025; reviewed 14/04/2026","Procedural / transplant-based comparator","Best supportive care: hyperhydration, crystallisation inhibitors, pyridoxine where relevant, dialysis/transplant pathway","Not specified / unclear","Clinical evidence uncertainty + Price / cost-effectiveness","No public ICER; NT-rådet could not assess cost-effectiveness because health-economic evidence was not submitted","No health-economic assessment available; high cost; uncertainty linking oxalate reduction to long-term renal survival and transplant avoidance","Only after consultation with national PH1 treatment council: children with genetically verified infantile PH1 awaiting liver or liver+kidney transplant; children/adults with genetically verified PH1 where treatment enables transplant; stop after successful transplant","ILLUMINATE-A/B/C showed strong reductions in urinary/plasma oxalate, but evidence is mainly biomarker-based","Clear restricted-access case. Sweden accepts use only as bridge/indispensable care, not routine commercial uptake","Primary xlsx database",26,TRUE,TRUE,,,"no public ICER - economic evidence not submitted","RNA-targeted",1,,2025-07-01,2020-11-19,4.61327857631759,"ok"
